sales_id,date_key,product_id,customer_id,quantity_sold,unit_price,unit_cost,discount_pct,discount_amount,gross_revenue,net_revenue,total_cost,profit,profit_margin_pct,order_number
44,259,3,8,13,220,150,10,22.0,2860,2838.0,1950,888.0,31.289640591966172,ORD-43
45,359,1,56,10,120,80,10,12.0,1200,1188.0,800,388.0,32.659932659932664,ORD-44
46,198,4,40,19,250,170,5,12.5,4750,4737.5,3230,1507.5,31.820580474934033,ORD-45
47,137,2,23,4,150,100,10,15.0,600,585.0,400,185.0,31.62393162393162,ORD-46
48,318,5,23,15,130,90,10,13.0,1950,1937.0,1350,587.0,30.304594734124933,ORD-47
49,165,1,2,18,120,80,0,0.0,2160,2160.0,1440,720.0,33.33333333333333,ORD-48
50,225,5,57,1,130,90,0,0.0,130,130.0,90,40.0,30.76923076923077,ORD-49
51,307,1,39,19,120,80,0,0.0,2280,2280.0,1520,760.0,33.33333333333333,ORD-50
52,234,4,21,2,250,170,10,25.0,500,475.0,340,135.0,28.421052631578945,ORD-51
53,172,4,52,10,250,170,10,25.0,2500,2475.0,1700,775.0,31.313131313131315,ORD-52
54,152,3,24,18,220,150,0,0.0,3960,3960.0,2700,1260.0,31.818181818181817,ORD-53
55,315,1,53,4,120,80,0,0.0,480,480.0,320,160.0,33.33333333333333,ORD-54
56,160,2,38,10,150,100,0,0.0,1500,1500.0,1000,500.0,33.33333333333333,ORD-55
57,96,4,20,4,250,170,5,12.5,1000,987.5,680,307.5,31.139240506329113,ORD-56
58,233,3,50,18,220,150,0,0.0,3960,3960.0,2700,1260.0,31.818181818181817,ORD-57
59,180,4,60,4,250,170,0,0.0,1000,1000.0,680,320.0,32.0,ORD-58
60,113,5,39,15,130,90,0,0.0,1950,1950.0,1350,600.0,30.76923076923077,ORD-59
61,318,4,60,18,250,170,5,12.5,4500,4487.5,3060,1427.5,31.81058495821727,ORD-60
62,52,1,50,9,120,80,5,6.0,1080,1074.0,720,354.0,32.960893854748605,ORD-61
63,268,3,27,17,220,150,10,22.0,3740,3718.0,2550,1168.0,31.414739107046803,ORD-62
64,295,1,44,3,120,80,0,0.0,360,360.0,240,120.0,33.33333333333333,ORD-63
65,113,2,39,13,150,100,0,0.0,1950,1950.0,1300,650.0,33.33333333333333,ORD-64
66,101,2,7,7,150,100,10,15.0,1050,1035.0,700,335.0,32.367149758454104,ORD-65
67,113,4,33,14,250,170,0,0.0,3500,3500.0,2380,1120.0,32.0,ORD-66
68,81,3,29,6,220,150,10,22.0,1320,1298.0,900,398.0,30.662557781201848,ORD-67
69,187,3,10,14,220,150,0,0.0,3080,3080.0,2100,980.0,31.818181818181817,ORD-68
70,113,3,10,14,220,150,0,0.0,3080,3080.0,2100,980.0,31.818181818181817,ORD-69
71,2,3,12,14,220,150,0,0.0,3080,3080.0,2100,980.0,31.818181818181817,ORD-70
72,130,4,3,18,250,170,10,25.0,4500,4475.0,3060,1415.0,31.620111731843576,ORD-71
73,220,1,3,9,120,80,10,12.0,1080,1068.0,720,348.0,32.58426966292135,ORD-72
74,54,4,13,12,250,170,10,25.0,3000,2975.0,2040,935.0,31.428571428571427,ORD-73
75,343,1,45,14,120,80,10,12.0,1680,1668.0,1120,548.0,32.853717026378895,ORD-74
76,224,5,31,16,130,90,10,13.0,2080,2067.0,1440,627.0,30.333817126269956,ORD-75
77,225,5,27,2,130,90,5,6.5,260,253.5,180,73.5,28.994082840236686,ORD-76
78,126,1,6,16,120,80,10,12.0,1920,1908.0,1280,628.0,32.914046121593294,ORD-77
79,130,4,27,18,250,170,0,0.0,4500,4500.0,3060,1440.0,32.0,ORD-78
80,53,2,35,9,150,100,5,7.5,1350,1342.5,900,442.5,32.960893854748605,ORD-79
81,172,4,60,8,250,170,5,12.5,2000,1987.5,1360,627.5,31.572327044025155,ORD-80
82,218,2,47,1,150,100,5,7.5,150,142.5,100,42.5,29.82456140350877,ORD-81
83,160,4,9,5,250,170,5,12.5,1250,1237.5,850,387.5,31.313131313131315,ORD-82
84,198,3,53,7,220,150,10,22.0,1540,1518.0,1050,468.0,30.8300395256917,ORD-83
85,247,3,6,10,220,150,0,0.0,2200,2200.0,1500,700.0,31.818181818181817,ORD-84
86,324,5,6,11,130,90,10,13.0,1430,1417.0,990,427.0,30.134086097388852,ORD-85
87,203,5,40,12,130,90,10,13.0,1560,1547.0,1080,467.0,30.187459599224304,ORD-86
88,184,1,26,1,120,80,5,6.0,120,114.0,80,34.0,29.82456140350877,ORD-87
89,123,2,43,6,150,100,10,15.0,900,885.0,600,285.0,32.20338983050847,ORD-88
90,255,3,19,4,220,150,5,11.0,880,869.0,600,269.0,30.95512082853855,ORD-89
91,294,4,16,3,250,170,10,25.0,750,725.0,510,215.0,29.655172413793103,ORD-90
92,280,1,41,4,120,80,5,6.0,480,474.0,320,154.0,32.48945147679325,ORD-91
93,325,4,23,6,250,170,5,12.5,1500,1487.5,1020,467.5,31.428571428571427,ORD-92
94,98,3,11,5,220,150,5,11.0,1100,1089.0,750,339.0,31.129476584022036,ORD-93
95,198,3,16,9,220,150,5,11.0,1980,1969.0,1350,619.0,31.437277805992892,ORD-94
96,240,3,29,4,220,150,10,22.0,880,858.0,600,258.0,30.069930069930066,ORD-95
97,144,3,38,14,220,150,10,22.0,3080,3058.0,2100,958.0,31.32766514061478,ORD-96
98,97,4,59,15,250,170,0,0.0,3750,3750.0,2550,1200.0,32.0,ORD-97
99,201,1,49,4,120,80,0,0.0,480,480.0,320,160.0,33.33333333333333,ORD-98
100,124,3,48,14,220,150,5,11.0,3080,3069.0,2100,969.0,31.573802541544477,ORD-99
101,187,5,20,10,130,90,0,0.0,1300,1300.0,900,400.0,30.76923076923077,ORD-100
102,326,1,21,7,120,80,0,0.0,840,840.0,560,280.0,33.33333333333333,ORD-101
103,349,5,28,18,130,90,5,6.5,2340,2333.5,1620,713.5,30.576387400899936,ORD-102
104,259,4,50,15,250,170,5,12.5,3750,3737.5,2550,1187.5,31.77257525083612,ORD-103
105,148,3,33,8,220,150,5,11.0,1760,1749.0,1200,549.0,31.3893653516295,ORD-104
106,252,1,50,9,120,80,0,0.0,1080,1080.0,720,360.0,33.33333333333333,ORD-105
107,346,3,40,5,220,150,5,11.0,1100,1089.0,750,339.0,31.129476584022036,ORD-106
108,147,3,26,6,220,150,0,0.0,1320,1320.0,900,420.0,31.818181818181817,ORD-107
109,148,1,54,12,120,80,5,6.0,1440,1434.0,960,474.0,33.054393305439326,ORD-108
110,352,3,10,7,220,150,5,11.0,1540,1529.0,1050,479.0,31.32766514061478,ORD-109
111,199,3,34,7,220,150,10,22.0,1540,1518.0,1050,468.0,30.8300395256917,ORD-110
112,308,2,9,15,150,100,10,15.0,2250,2235.0,1500,735.0,32.88590604026846,ORD-111
113,128,2,56,19,150,100,5,7.5,2850,2842.5,1900,942.5,33.15743183817062,ORD-112
114,39,1,36,13,120,80,10,12.0,1560,1548.0,1040,508.0,32.81653746770026,ORD-113
115,338,1,11,18,120,80,10,12.0,2160,2148.0,1440,708.0,32.960893854748605,ORD-114
116,360,3,10,10,220,150,10,22.0,2200,2178.0,1500,678.0,31.129476584022036,ORD-115
117,129,5,46,8,130,90,10,13.0,1040,1027.0,720,307.0,29.892891918208374,ORD-116
118,267,1,7,11,120,80,0,0.0,1320,1320.0,880,440.0,33.33333333333333,ORD-117
119,151,3,51,8,220,150,10,22.0,1760,1738.0,1200,538.0,30.95512082853855,ORD-118
120,298,5,38,8,130,90,5,6.5,1040,1033.5,720,313.5,30.333817126269956,ORD-119
121,99,2,16,15,150,100,10,15.0,2250,2235.0,1500,735.0,32.88590604026846,ORD-120
122,263,1,51,2,120,80,5,6.0,240,234.0,160,74.0,31.62393162393162,ORD-121
123,252,3,26,13,220,150,0,0.0,2860,2860.0,1950,910.0,31.818181818181817,ORD-122
124,144,2,32,18,150,100,5,7.5,2700,2692.5,1800,892.5,33.147632311977716,ORD-123
125,346,4,31,12,250,170,5,12.5,3000,2987.5,2040,947.5,31.715481171548117,ORD-124
126,112,2,51,8,150,100,10,15.0,1200,1185.0,800,385.0,32.48945147679325,ORD-125
127,60,3,32,17,220,150,5,11.0,3740,3729.0,2550,1179.0,31.61705551086082,ORD-126
128,2,5,45,6,130,90,5,6.5,780,773.5,540,233.5,30.187459599224304,ORD-127
129,304,4,12,16,250,170,0,0.0,4000,4000.0,2720,1280.0,32.0,ORD-128
130,254,4,27,14,250,170,0,0.0,3500,3500.0,2380,1120.0,32.0,ORD-129
131,140,4,57,10,250,170,10,25.0,2500,2475.0,1700,775.0,31.313131313131315,ORD-130
132,37,1,22,2,120,80,0,0.0,240,240.0,160,80.0,33.33333333333333,ORD-131
133,160,3,15,13,220,150,0,0.0,2860,2860.0,1950,910.0,31.818181818181817,ORD-132
134,9,4,8,1,250,170,5,12.5,250,237.5,170,67.5,28.421052631578945,ORD-133
135,233,2,4,18,150,100,10,15.0,2700,2685.0,1800,885.0,32.960893854748605,ORD-134
136,99,5,52,14,130,90,10,13.0,1820,1807.0,1260,547.0,30.271167681239625,ORD-135
137,147,3,8,3,220,150,5,11.0,660,649.0,450,199.0,30.662557781201848,ORD-136
138,304,2,23,15,150,100,0,0.0,2250,2250.0,1500,750.0,33.33333333333333,ORD-137
139,208,1,53,9,120,80,0,0.0,1080,1080.0,720,360.0,33.33333333333333,ORD-138
140,131,4,16,13,250,170,0,0.0,3250,3250.0,2210,1040.0,32.0,ORD-139
141,152,2,48,5,150,100,10,15.0,750,735.0,500,235.0,31.97278911564626,ORD-140
142,54,3,34,5,220,150,5,11.0,1100,1089.0,750,339.0,31.129476584022036,ORD-141
143,120,2,22,2,150,100,5,7.5,300,292.5,200,92.5,31.62393162393162,ORD-142
144,161,1,49,1,120,80,0,0.0,120,120.0,80,40.0,33.33333333333333,ORD-143
145,116,5,23,17,130,90,10,13.0,2210,2197.0,1530,667.0,30.35958124715521,ORD-144
146,75,4,57,19,250,170,5,12.5,4750,4737.5,3230,1507.5,31.820580474934033,ORD-145
147,113,3,5,17,220,150,0,0.0,3740,3740.0,2550,1190.0,31.818181818181817,ORD-146
148,104,4,37,9,250,170,0,0.0,2250,2250.0,1530,720.0,32.0,ORD-147
149,340,4,44,10,250,170,5,12.5,2500,2487.5,1700,787.5,31.65829145728643,ORD-148
150,254,4,7,15,250,170,5,12.5,3750,3737.5,2550,1187.5,31.77257525083612,ORD-149
151,227,2,37,13,150,100,5,7.5,1950,1942.5,1300,642.5,33.07593307593308,ORD-150
152,112,2,26,17,150,100,10,15.0,2550,2535.0,1700,835.0,32.938856015779095,ORD-151
153,99,5,60,7,130,90,0,0.0,910,910.0,630,280.0,30.76923076923077,ORD-152
154,153,1,28,4,120,80,5,6.0,480,474.0,320,154.0,32.48945147679325,ORD-153
155,349,3,4,3,220,150,10,22.0,660,638.0,450,188.0,29.46708463949843,ORD-154
156,338,2,49,1,150,100,10,15.0,150,135.0,100,35.0,25.925925925925924,ORD-155
157,194,4,32,7,250,170,5,12.5,1750,1737.5,1190,547.5,31.510791366906478,ORD-156
158,310,1,38,5,120,80,5,6.0,600,594.0,400,194.0,32.659932659932664,ORD-157
159,163,3,46,17,220,150,5,11.0,3740,3729.0,2550,1179.0,31.61705551086082,ORD-158
160,208,3,9,17,220,150,5,11.0,3740,3729.0,2550,1179.0,31.61705551086082,ORD-159
161,169,3,36,15,220,150,10,22.0,3300,3278.0,2250,1028.0,31.360585723001833,ORD-160
162,161,3,26,3,220,150,5,11.0,660,649.0,450,199.0,30.662557781201848,ORD-161
163,68,5,11,3,130,90,0,0.0,390,390.0,270,120.0,30.76923076923077,ORD-162
164,289,3,20,2,220,150,0,0.0,440,440.0,300,140.0,31.818181818181817,ORD-163
165,277,1,53,8,120,80,5,6.0,960,954.0,640,314.0,32.914046121593294,ORD-164
166,304,2,48,13,150,100,5,7.5,1950,1942.5,1300,642.5,33.07593307593308,ORD-165
167,135,1,48,6,120,80,10,12.0,720,708.0,480,228.0,32.20338983050847,ORD-166
168,195,4,48,5,250,170,0,0.0,1250,1250.0,850,400.0,32.0,ORD-167
169,128,5,38,13,130,90,0,0.0,1690,1690.0,1170,520.0,30.76923076923077,ORD-168
170,33,5,15,1,130,90,10,13.0,130,117.0,90,27.0,23.076923076923077,ORD-169
171,176,4,35,18,250,170,5,12.5,4500,4487.5,3060,1427.5,31.81058495821727,ORD-170
172,22,1,9,7,120,80,10,12.0,840,828.0,560,268.0,32.367149758454104,ORD-171
173,238,1,33,17,120,80,10,12.0,2040,2028.0,1360,668.0,32.938856015779095,ORD-172
174,158,4,11,8,250,170,0,0.0,2000,2000.0,1360,640.0,32.0,ORD-173
175,38,3,22,19,220,150,10,22.0,4180,4158.0,2850,1308.0,31.457431457431458,ORD-174
176,230,3,6,16,220,150,0,0.0,3520,3520.0,2400,1120.0,31.818181818181817,ORD-175
177,51,2,56,14,150,100,0,0.0,2100,2100.0,1400,700.0,33.33333333333333,ORD-176
178,264,1,37,10,120,80,10,12.0,1200,1188.0,800,388.0,32.659932659932664,ORD-177
179,283,1,57,2,120,80,10,12.0,240,228.0,160,68.0,29.82456140350877,ORD-178
180,27,4,57,16,250,170,5,12.5,4000,3987.5,2720,1267.5,31.786833855799372,ORD-179
181,226,4,60,13,250,170,0,0.0,3250,3250.0,2210,1040.0,32.0,ORD-180
182,277,3,50,5,220,150,10,22.0,1100,1078.0,750,328.0,30.426716141001855,ORD-181
183,286,1,21,18,120,80,0,0.0,2160,2160.0,1440,720.0,33.33333333333333,ORD-182
184,97,1,12,11,120,80,10,12.0,1320,1308.0,880,428.0,32.7217125382263,ORD-183
185,284,5,7,5,130,90,10,13.0,650,637.0,450,187.0,29.356357927786497,ORD-184
186,317,2,2,13,150,100,5,7.5,1950,1942.5,1300,642.5,33.07593307593308,ORD-185
187,304,2,39,1,150,100,5,7.5,150,142.5,100,42.5,29.82456140350877,ORD-186
188,147,3,41,6,220,150,5,11.0,1320,1309.0,900,409.0,31.245225362872418,ORD-187
189,4,1,24,11,120,80,10,12.0,1320,1308.0,880,428.0,32.7217125382263,ORD-188
190,35,5,26,10,130,90,5,6.5,1300,1293.5,900,393.5,30.421337456513335,ORD-189
191,192,1,25,1,120,80,0,0.0,120,120.0,80,40.0,33.33333333333333,ORD-190
192,49,4,20,16,250,170,0,0.0,4000,4000.0,2720,1280.0,32.0,ORD-191
193,17,3,40,13,220,150,10,22.0,2860,2838.0,1950,888.0,31.289640591966172,ORD-192
194,172,2,41,16,150,100,5,7.5,2400,2392.5,1600,792.5,33.12434691745037,ORD-193
195,220,1,42,15,120,80,10,12.0,1800,1788.0,1200,588.0,32.88590604026846,ORD-194
196,158,3,44,7,220,150,10,22.0,1540,1518.0,1050,468.0,30.8300395256917,ORD-195
197,46,2,2,14,150,100,0,0.0,2100,2100.0,1400,700.0,33.33333333333333,ORD-196
198,6,1,42,11,120,80,5,6.0,1320,1314.0,880,434.0,33.02891933028919,ORD-197
199,99,5,35,13,130,90,0,0.0,1690,1690.0,1170,520.0,30.76923076923077,ORD-198
200,233,3,33,5,220,150,5,11.0,1100,1089.0,750,339.0,31.129476584022036,ORD-199
201,37,1,17,18,120,80,5,6.0,2160,2154.0,1440,714.0,33.147632311977716,ORD-200
202,280,2,58,3,150,100,10,15.0,450,435.0,300,135.0,31.03448275862069,ORD-201
203,349,2,22,12,150,100,5,7.5,1800,1792.5,1200,592.5,33.054393305439326,ORD-202
204,302,5,1,7,130,90,5,6.5,910,903.5,630,273.5,30.271167681239625,ORD-203
205,181,3,37,15,220,150,10,22.0,3300,3278.0,2250,1028.0,31.360585723001833,ORD-204
206,95,3,30,1,220,150,0,0.0,220,220.0,150,70.0,31.818181818181817,ORD-205
207,99,1,46,19,120,80,0,0.0,2280,2280.0,1520,760.0,33.33333333333333,ORD-206
208,188,2,6,10,150,100,0,0.0,1500,1500.0,1000,500.0,33.33333333333333,ORD-207
209,116,2,41,14,150,100,5,7.5,2100,2092.5,1400,692.5,33.09438470728793,ORD-208
210,191,5,54,15,130,90,5,6.5,1950,1943.5,1350,593.5,30.53768973501415,ORD-209
211,253,5,14,2,130,90,10,13.0,260,247.0,180,67.0,27.125506072874494,ORD-210
212,161,3,36,17,220,150,10,22.0,3740,3718.0,2550,1168.0,31.414739107046803,ORD-211
213,256,2,33,10,150,100,10,15.0,1500,1485.0,1000,485.0,32.659932659932664,ORD-212
214,323,1,38,5,120,80,0,0.0,600,600.0,400,200.0,33.33333333333333,ORD-213
215,128,4,39,6,250,170,5,12.5,1500,1487.5,1020,467.5,31.428571428571427,ORD-214
216,18,1,53,6,120,80,10,12.0,720,708.0,480,228.0,32.20338983050847,ORD-215
217,281,5,6,6,130,90,5,6.5,780,773.5,540,233.5,30.187459599224304,ORD-216
218,223,1,26,14,120,80,10,12.0,1680,1668.0,1120,548.0,32.853717026378895,ORD-217
219,54,2,24,13,150,100,10,15.0,1950,1935.0,1300,635.0,32.81653746770026,ORD-218
220,58,3,33,13,220,150,0,0.0,2860,2860.0,1950,910.0,31.818181818181817,ORD-219
221,323,4,8,10,250,170,0,0.0,2500,2500.0,1700,800.0,32.0,ORD-220
222,360,3,44,16,220,150,5,11.0,3520,3509.0,2400,1109.0,31.604445711028784,ORD-221
223,174,4,43,7,250,170,5,12.5,1750,1737.5,1190,547.5,31.510791366906478,ORD-222
224,280,4,34,3,250,170,10,25.0,750,725.0,510,215.0,29.655172413793103,ORD-223
225,114,2,34,15,150,100,0,0.0,2250,2250.0,1500,750.0,33.33333333333333,ORD-224
226,288,2,24,5,150,100,5,7.5,750,742.5,500,242.5,32.659932659932664,ORD-225
227,342,5,2,8,130,90,0,0.0,1040,1040.0,720,320.0,30.76923076923077,ORD-226
228,151,5,8,5,130,90,5,6.5,650,643.5,450,193.5,30.069930069930066,ORD-227
229,127,4,53,2,250,170,5,12.5,500,487.5,340,147.5,30.256410256410255,ORD-228
230,155,5,25,19,130,90,0,0.0,2470,2470.0,1710,760.0,30.76923076923077,ORD-229
231,273,2,57,11,150,100,5,7.5,1650,1642.5,1100,542.5,33.02891933028919,ORD-230
232,104,5,30,11,130,90,5,6.5,1430,1423.5,990,433.5,30.453108535300316,ORD-231
233,299,4,32,3,250,170,0,0.0,750,750.0,510,240.0,32.0,ORD-232
234,246,3,56,13,220,150,0,0.0,2860,2860.0,1950,910.0,31.818181818181817,ORD-233
235,176,1,30,19,120,80,5,6.0,2280,2274.0,1520,754.0,33.15743183817062,ORD-234
236,39,5,57,15,130,90,5,6.5,1950,1943.5,1350,593.5,30.53768973501415,ORD-235
237,170,2,7,6,150,100,0,0.0,900,900.0,600,300.0,33.33333333333333,ORD-236
238,247,3,48,13,220,150,5,11.0,2860,2849.0,1950,899.0,31.554931554931553,ORD-237
239,26,2,24,18,150,100,5,7.5,2700,2692.5,1800,892.5,33.147632311977716,ORD-238
240,355,5,54,18,130,90,5,6.5,2340,2333.5,1620,713.5,30.576387400899936,ORD-239
241,306,4,9,1,250,170,10,25.0,250,225.0,170,55.0,24.444444444444443,ORD-240
242,13,1,16,11,120,80,0,0.0,1320,1320.0,880,440.0,33.33333333333333,ORD-241
243,316,1,2,16,120,80,10,12.0,1920,1908.0,1280,628.0,32.914046121593294,ORD-242
244,313,3,35,1,220,150,10,22.0,220,198.0,150,48.0,24.242424242424242,ORD-243
245,36,1,34,19,120,80,10,12.0,2280,2268.0,1520,748.0,32.98059964726631,ORD-244
246,173,4,22,8,250,170,10,25.0,2000,1975.0,1360,615.0,31.139240506329113,ORD-245
247,20,2,19,19,150,100,5,7.5,2850,2842.5,1900,942.5,33.15743183817062,ORD-246
248,321,4,59,16,250,170,10,25.0,4000,3975.0,2720,1255.0,31.572327044025155,ORD-247
249,264,3,49,3,220,150,10,22.0,660,638.0,450,188.0,29.46708463949843,ORD-248
250,142,3,52,2,220,150,0,0.0,440,440.0,300,140.0,31.818181818181817,ORD-249
251,143,1,21,12,120,80,5,6.0,1440,1434.0,960,474.0,33.054393305439326,ORD-250
252,92,4,12,10,250,170,5,12.5,2500,2487.5,1700,787.5,31.65829145728643,ORD-251
253,354,2,11,2,150,100,0,0.0,300,300.0,200,100.0,33.33333333333333,ORD-252
254,322,4,52,5,250,170,5,12.5,1250,1237.5,850,387.5,31.313131313131315,ORD-253
255,288,2,54,5,150,100,5,7.5,750,742.5,500,242.5,32.659932659932664,ORD-254
256,215,2,19,6,150,100,0,0.0,900,900.0,600,300.0,33.33333333333333,ORD-255
257,342,4,58,3,250,170,5,12.5,750,737.5,510,227.5,30.847457627118647,ORD-256
258,51,5,6,10,130,90,10,13.0,1300,1287.0,900,387.0,30.069930069930066,ORD-257
259,153,4,42,5,250,170,10,25.0,1250,1225.0,850,375.0,30.612244897959183,ORD-258
260,186,2,14,5,150,100,10,15.0,750,735.0,500,235.0,31.97278911564626,ORD-259
261,63,3,33,15,220,150,0,0.0,3300,3300.0,2250,1050.0,31.818181818181817,ORD-260
262,190,3,47,17,220,150,5,11.0,3740,3729.0,2550,1179.0,31.61705551086082,ORD-261
263,125,1,38,17,120,80,5,6.0,2040,2034.0,1360,674.0,33.136676499508354,ORD-262
264,150,3,13,18,220,150,5,11.0,3960,3949.0,2700,1249.0,31.62826031906812,ORD-263
265,314,5,56,10,130,90,5,6.5,1300,1293.5,900,393.5,30.421337456513335,ORD-264
266,58,2,26,7,150,100,0,0.0,1050,1050.0,700,350.0,33.33333333333333,ORD-265
267,342,4,14,11,250,170,5,12.5,2750,2737.5,1870,867.5,31.689497716894977,ORD-266
268,305,4,45,14,250,170,0,0.0,3500,3500.0,2380,1120.0,32.0,ORD-267
269,180,5,24,9,130,90,10,13.0,1170,1157.0,810,347.0,29.99135695764909,ORD-268
270,170,3,48,17,220,150,0,0.0,3740,3740.0,2550,1190.0,31.818181818181817,ORD-269
271,326,2,1,2,150,100,5,7.5,300,292.5,200,92.5,31.62393162393162,ORD-270
272,271,3,46,17,220,150,0,0.0,3740,3740.0,2550,1190.0,31.818181818181817,ORD-271
273,54,1,45,17,120,80,5,6.0,2040,2034.0,1360,674.0,33.136676499508354,ORD-272
274,101,3,55,10,220,150,0,0.0,2200,2200.0,1500,700.0,31.818181818181817,ORD-273
275,264,1,30,12,120,80,5,6.0,1440,1434.0,960,474.0,33.054393305439326,ORD-274
276,53,4,10,12,250,170,10,25.0,3000,2975.0,2040,935.0,31.428571428571427,ORD-275
277,60,2,10,15,150,100,10,15.0,2250,2235.0,1500,735.0,32.88590604026846,ORD-276
278,108,1,28,9,120,80,0,0.0,1080,1080.0,720,360.0,33.33333333333333,ORD-277
279,5,3,4,18,220,150,10,22.0,3960,3938.0,2700,1238.0,31.437277805992892,ORD-278
280,103,3,14,16,220,150,5,11.0,3520,3509.0,2400,1109.0,31.604445711028784,ORD-279
281,196,4,12,7,250,170,10,25.0,1750,1725.0,1190,535.0,31.01449275362319,ORD-280
282,262,5,54,14,130,90,10,13.0,1820,1807.0,1260,547.0,30.271167681239625,ORD-281
283,350,5,38,4,130,90,10,13.0,520,507.0,360,147.0,28.994082840236686,ORD-282
284,47,3,47,3,220,150,10,22.0,660,638.0,450,188.0,29.46708463949843,ORD-283
285,355,5,37,12,130,90,5,6.5,1560,1553.5,1080,473.5,30.47956227872546,ORD-284
286,311,2,10,16,150,100,10,15.0,2400,2385.0,1600,785.0,32.914046121593294,ORD-285
287,308,5,41,4,130,90,10,13.0,520,507.0,360,147.0,28.994082840236686,ORD-286
288,144,2,27,4,150,100,0,0.0,600,600.0,400,200.0,33.33333333333333,ORD-287
